Run_ID,Scenario,Simulation_Time,Vehicles_Passed,Avg_Travel_Time,Total_CO2,Avg_CO2
1,Low,60,23,21.43478167674862,1713551.3545786324,28559.18876699073
2,Low,60,24,21.583332434027813,1829864.6282673113,30497.743296159468
3,Low,60,18,23.944443114197604,1774386.2599586644,29573.103839759344
4,Low,120,49,27.612244334443993,4167488.22242323,34729.06823078468
5,Low,120,50,29.759999404800013,4209010.522725086,35075.08739708332
6,Low,120,49,26.61224435485216,4188531.082017815,34904.425392611585
7,Low,300,126,34.79365051751071,10819977.195753109,36066.59053228839
8,Low,300,128,34.40624973120117,10978522.57070851,36595.07511371145
9,Low,300,135,32.755555312921814,10961601.490273306,36538.67151244878
10,Medium,60,20,24.04999879750006,1789947.2572510145,29832.453790309344
11,Medium,60,20,23.999998800000057,1749525.9032355058,29158.764567945687
12,Medium,60,18,20.999998833333397,1775578.016344085,29592.96644585198
13,Medium,120,49,28.836734105372773,4248495.500367534,35404.128874695045
14,Medium,120,47,28.76595683476688,4011266.7929286747,33427.22299584543
15,Medium,120,47,29.085105764146686,4032339.8394461535,33602.83171536102
16,Medium,300,132,33.477272473657024,10838004.217375657,36126.68060416325
17,Medium,300,137,33.84671508141084,11068044.038268043,36893.48000458188
18,Medium,300,136,33.13235269755623,11086520.61744943,36955.06860164787
19,High,60,17,19.58823414186858,1765009.7905582194,29416.8293523565
20,High,60,24,16.541665977430583,1801598.3854042466,30026.639256293456
21,High,60,24,19.41666585763892,1828148.7761767518,30469.145761793436
22,High,120,50,28.11999943760001,4248378.704743273,35403.15557783431
23,High,120,44,31.886362911673572,4095683.126749462,34130.69243848975
24,High,120,52,27.2307687071006,4380802.198019008,36506.68467926936
25,High,300,133,33.27067644157386,10871405.589220453,36238.01850994145
26,High,300,134,32.388059459790604,10903190.91865626,36343.96960770764
27,High,300,132,33.053030052628564,10851558.26944635,36171.860777581634
